가자, 58, 186
하마, 64, 153
바타, 98, 142
라마, 62, 174
아카, 78, 164
차다, 68, 154
카마, 80, 174
하바, 43, 165
카자, 77, 161
다하, 40, 159
하라, 91, 192
나다, 95, 147
라나, 67, 159
다바, 93, 174
타카, 44, 184
타나, 94, 166
바사, 71, 181
파자, 82, 191
마차, 71, 186
타자, 64, 174
사파, 58, 198
차카, 65, 152
나아, 87, 140
나아, 70, 142
자다, 59, 154
자가, 70, 198
파자, 71, 174
아파, 69, 167
자하, 66, 198
카하, 49, 159
아라, 88, 185
자하, 89, 168
나타, 75, 147
라파, 69, 181
하라, 89, 192
하하, 50, 154
바바, 74, 195
아라, 77, 161
다다, 87, 178
바나, 64, 183
카마, 79, 174
바마, 98, 163
자라, 49, 185
나다, 86, 140
나자, 69, 183
차하, 51, 170
바다, 94, 183
바카, 86, 150
하하, 69, 140
파자, 71, 143
파마, 83, 193
하하, 90, 153
자타, 63, 168
라파, 42, 198
차파, 67, 167
마차, 73, 157
하나, 48, 188
아라, 41, 150
파차, 74, 197
자라, 45, 173
카차, 81, 149
아다, 83, 195
바타, 64, 146
자다, 81, 165
다자, 81, 142
아다, 89, 174
카바, 58, 168
타사, 98, 141
하라, 87, 195
차카, 48, 175
마바, 63, 155
다사, 98, 168
나사, 60, 174
차나, 86, 156
아하, 80, 161
사다, 63, 191
마타, 94, 191
나파, 50, 191
카라, 94, 162
타라, 85, 193
자마, 53, 144
다아, 51, 187
다파, 87, 155
타라, 87, 163
사사, 61, 150
차파, 50, 163
사타, 81, 162
마다, 41, 177
하나, 73, 166
차아, 43, 157
차차, 54, 156
타타, 42, 141
바나, 75, 172
다나, 65, 181
파다, 86, 198
가라, 91, 194
바차, 69, 143
마나, 94, 175
나나, 53, 143
마차, 95, 184
